indice,tiempo_s,adc_raw,ecg_filtrado,bpm_estimado
782,2.170832,333,-2.416874,
783,2.173608,334,-1.939793,
784,2.176384,335,-1.209338,
785,2.179160,336,-0.261151,
786,2.181936,339,0.946501,
787,2.184712,342,2.615283,
788,2.187488,343,4.657385,
789,2.190264,342,6.482882,
790,2.193040,343,7.672777,
791,2.195816,343,8.351008,
792,2.198592,345,8.824814,
793,2.201368,345,9.290307,
794,2.204144,344,9.587912,
795,2.206920,343,9.463363,
796,2.209696,343,9.017820,
797,2.212472,344,8.615578,
798,2.215248,345,8.540097,
799,2.218024,344,8.658001,
800,2.220800,343,8.569658,
801,2.223576,341,8.039849,
802,2.226352,338,6.942778,
803,2.229128,335,5.152477,
804,2.231904,333,2.764194,
805,2.234680,331,0.108154,
806,2.237456,329,-2.496903,
807,2.240232,326,-4.930487,
808,2.243008,323,-7.280441,
809,2.245784,323,-9.457626,
810,2.248560,325,-10.942741,
811,2.251336,327,-11.289282,
812,2.254112,329,-10.515853,
813,2.256888,329,-9.036196,
814,2.259664,329,-7.452504,
815,2.262440,328,-6.276114,
816,2.265216,327,-5.840372,
817,2.267992,327,-6.139259,
818,2.270768,327,-6.779113,
819,2.273544,326,-7.401529,
820,2.276320,327,-7.772617,
821,2.279096,326,-7.799630,
822,2.281872,327,-7.650539,
823,2.284648,327,-7.463029,
824,2.287424,327,-7.306434,
825,2.290200,326,-7.262582,
826,2.292976,326,-7.308789,
827,2.295752,324,-7.481706,
828,2.298528,322,-8.075990,
829,2.301304,318,-9.465486,
830,2.304080,318,-11.535910,
831,2.306856,316,-13.635654,
832,2.309632,312,-15.584050,
833,2.312408,305,-18.036699,
834,2.315184,296,-21.893066,
835,2.317960,281,-28.105029,
836,2.320736,270,-37.058940,
837,2.323512,265,-47.352329,
838,2.326288,271,-55.885147,
839,2.329064,291,-58.783081,
840,2.331840,321,-52.592517,
841,2.334616,349,-36.409665,
842,2.337392,374,-12.770892,
843,2.340168,392,13.899138,
844,2.342944,407,39.354677,
845,2.345720,423,61.213418,
846,2.348496,437,79.183548,
847,2.351272,443,93.358869,
848,2.354048,440,102.948764,
849,2.356824,429,106.676368,
850,2.359600,412,103.614595,
851,2.362376,387,93.259069,
852,2.365152,360,75.633193,
853,2.367928,335,52.193745,
854,2.370704,315,26.059701,
855,2.373480,299,0.821672,
856,2.376256,290,-20.669464,
857,2.379032,280,-37.186631,
858,2.381808,274,-49.243942,
859,2.384584,272,-57.627054,
860,2.387360,274,-62.447927,
861,2.390136,279,-63.553547,
862,2.392912,290,-60.745820,
863,2.395688,302,-54.022758,
864,2.398464,313,-44.231508,
865,2.401240,319,-33.207557,
866,2.404016,322,-23.064488,
867,2.406792,322,-15.311570,
868,2.409568,322,-10.469565,
869,2.412344,320,-8.349906,
870,2.415120,319,-8.416626,
871,2.417896,320,-9.648544,
872,2.420672,323,-10.623958,
873,2.423448,325,-10.349277,
874,2.426224,327,-8.804055,
875,2.429000,327,-6.708610,
876,2.431776,328,-4.873656,
877,2.434552,327,-3.727920,
878,2.437328,325,-3.457598,
879,2.440104,324,-3.976297,
